Interaction,model_1,mode_2,pairing_id,round,agent_id,move,payoff_agent_1,payoff_agent_2,mutual_cooperation,cooperation rate
4.1_vs_4.1,4.1,4.1,0,1,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,1,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,2,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,2,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,3,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,3,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,4,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,4,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,5,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,5,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,6,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,6,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,7,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,7,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,8,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,0,8,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,1,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,1,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,2,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,2,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,3,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,3,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,4,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,4,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,5,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,1,5,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,1,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,1,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,2,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,2,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,3,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,3,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,4,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,4,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,5,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,2,5,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,1,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,1,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,2,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,2,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,3,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,3,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,4,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,4,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,5,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,5,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,6,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,6,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,7,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,7,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,8,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,3,8,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,1,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,1,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,2,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,2,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,3,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,3,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,4,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,4,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,5,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,5,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,6,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,6,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,7,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,7,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,8,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,8,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,9,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,9,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,10,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,10,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,11,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,11,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,12,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,4,12,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,1,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,1,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,2,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,2,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,3,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,3,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,4,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,4,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,5,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,5,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,6,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,5,6,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,1,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,1,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,2,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,2,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,3,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,3,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,4,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,4,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,5,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,5,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,6,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,6,Adaptive_1_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,7,Adaptive_0_0,cooperate,3,3,1.0,1.0
4.1_vs_4.1,4.1,4.1,6,7,Adaptive_1_0,cooperate,3,3,1.0,1.0
