model,test,pairing_id,round,strategy_1,strategy_2,move_strategy_1,move_strategy_2,payoff_strategy_1,payoff_strategy_2,cooperation_rate,mutual_cooperation
GPT4.1,TFT v TFT,0,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,0,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,0,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,0,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,0,5,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,0,6,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,1,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,1,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,1,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,1,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,1,5,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,1,6,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,1,7,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,1,8,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,5,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,6,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,7,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,8,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,9,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,2,10,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,3,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,3,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,3,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,3,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,3,5,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,4,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,4,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,4,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,4,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,4,5,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,5,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,6,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,7,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,8,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,9,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,10,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,5,11,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,6,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,6,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,6,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,6,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,6,5,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,6,6,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,5,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,6,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,7,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,8,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,9,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,10,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,11,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,12,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,7,13,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,8,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,8,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,8,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,8,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,9,1,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,9,2,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,9,3,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,9,4,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,9,5,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,9,6,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,9,7,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,9,8,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v TFT,9,9,TFT,TFT,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,0,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,0,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,0,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,0,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,0,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,0,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,0,7,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,0,8,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,7,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,8,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,9,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,10,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,1,11,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,2,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,2,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,2,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,2,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,2,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,2,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,2,7,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,2,8,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,3,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,3,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,3,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,3,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,3,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,3,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,3,7,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,3,8,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,7,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,8,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,9,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,10,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,4,11,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,5,1,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,5,2,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,5,3,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,5,4,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,5,5,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,5,6,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,5,7,TFT,AC,cooperate,cooperate,3,3,1,1
GPT4.1,TFT v AC,5,8,TFT,AC,cooperate,cooperate,3,3,1,1
